Position X,Position Y,Position Z
0.0,0.0,0.0
0.02105,0.00011,0.0
0.06276,0.00047,0.0
0.08737,0.00058,0.0
0.117,0.00019,0.0
0.15628,0.00108,0.0
0.1828,0.00136,0.0
0.22153,0.00203,0.0
0.25859,0.0026,0.0
0.29009,0.00379,0.0
0.33316,0.00461,0.0
0.36812,0.0051,0.0
0.40575,0.00536,0.0
0.44881,0.00597,0.0
0.48434,0.00595,0.0
0.51833,0.00643,0.0
0.54179,0.00643,0.0
0.56246,0.00644,0.0
0.58052,0.00624,0.0
0.56909,0.02663,0.0
0.5725,0.06597,0.0
0.57618,0.09382,0.0
0.57737,0.11853,0.0
0.58061,0.15023,0.0
0.58172,0.17749,0.0
0.58445,0.22675,0.0
0.58581,0.25906,0.0
0.58652,0.29292,0.0
0.58864,0.33014,0.0
0.58919,0.36586,0.0
0.58939,0.40414,0.0
0.59033,0.4424,0.0
0.58923,0.48073,0.0
0.58892,0.51484,0.0
0.58909,0.53757,0.0
0.58742,0.56271,0.0
0.58911,0.57892,0.0
0.58927,0.58069,0.0
0.56297,0.58056,0.0
0.53039,0.5825,0.0
0.51211,0.58402,0.0
0.481,0.58687,0.0
0.45184,0.58756,0.0
0.4274,0.58886,0.0
0.39185,0.5909,0.0
0.36464,0.59114,0.0
0.33438,0.59282,0.0
0.29908,0.5942,0.0
0.27153,0.5945,0.0
0.23604,0.5953,0.0
0.20248,0.59533,0.0
0.17197,0.59477,0.0
0.13415,0.59317,0.0
0.10274,0.59031,0.0
0.07776,0.5898,0.0
0.0549,0.58837,0.0
0.0382,0.58762,0.0
0.02549,0.58652,0.0
0.02036,0.58561,0.0
0.03558,0.56004,0.0
0.03701,0.52218,0.0
0.04005,0.49763,0.0
0.04092,0.4531,0.0
0.04163,0.42547,0.0
0.04213,0.39633,0.0
0.04131,0.36164,0.0
0.04207,0.332,0.0
0.04227,0.29782,0.0
0.04133,0.26334,0.0
0.04192,0.23038,0.0
0.04064,0.19347,0.0
0.03948,0.1578,0.0
0.039,0.12161,0.0
0.03641,0.08706,0.0
0.0359,0.04106,0.0
0.0,0.0,0.0
0.01059,0.00269,0.0
0.04661,0.00455,0.0
0.07883,0.00548,0.0
0.1019,0.0056,0.0
0.14043,0.00615,0.0
0.17109,0.00633,0.0
0.20267,0.00671,0.0
0.24252,0.00685,0.0
0.2733,0.00733,0.0
0.31233,0.0078,0.0
0.36722,0.00837,0.0
0.40612,0.00915,0.0
0.42791,0.00937,0.0
0.48374,0.00987,0.0
0.51816,0.00987,0.0
0.53988,0.01012,0.0
0.56318,0.01017,0.0
0.5822,0.01009,0.0
0.57588,0.02853,0.0
0.57564,0.0637,0.0
0.57987,0.09292,0.0
0.57999,0.1176,0.0
0.58326,0.15089,0.0
0.58541,0.18065,0.0
0.58609,0.2132,0.0
0.58955,0.24833,0.0
0.59036,0.2816,0.0
0.59169,0.31897,0.0
0.59383,0.35544,0.0
0.59365,0.39236,0.0
0.59452,0.43084,0.0
0.59455,0.46906,0.0
0.59309,0.50671,0.0
0.59392,0.53349,0.0
0.59364,0.55644,0.0
0.59257,0.57902,0.0
0.59434,0.58719,0.0
0.58121,0.5866,0.0
0.53263,0.589,0.0
0.5139,0.59103,0.0
0.48184,0.59423,0.0
0.45419,0.59442,0.0
0.42916,0.59605,0.0
0.39358,0.59702,0.0
0.3668,0.59738,0.0
0.33463,0.59852,0.0
0.29965,0.59906,0.0
0.27152,0.599,0.0
0.2356,0.59919,0.0
0.20296,0.59934,0.0
0.17144,0.59879,0.0
0.13465,0.59737,0.0
0.10439,0.59457,0.0
0.07954,0.59338,0.0
0.05812,0.59179,0.0
0.04186,0.59009,0.0
0.03022,0.59031,0.0
0.02707,0.58806,0.0
0.04149,0.56102,0.0
0.04238,0.52263,0.0
0.04596,0.49884,0.0
0.04824,0.47049,0.0
0.04721,0.43784,0.0
0.04895,0.41082,0.0
0.04902,0.37719,0.0
0.048,0.34524,0.0
0.04937,0.31354,0.0
0.0487,0.27886,0.0
0.04843,0.24529,0.0
0.0482,0.19183,0.0
0.04625,0.15598,0.0
0.04593,0.1193,0.0
0.04383,0.08548,0.0
0.0427,0.06353,0.0
0.04349,0.0397,0.0
0.0,0.0,0.0
0.01289,0.0016,0.0
0.05023,0.00311,0.0
0.07962,0.0038,0.0
0.10442,0.00407,0.0
0.14265,0.00529,0.0
0.17128,0.00624,0.0
0.20515,0.00679,0.0
0.24376,0.00833,0.0
0.27513,0.00882,0.0
0.31531,0.00947,0.0
0.35307,0.0106,0.0
0.38857,0.01106,0.0
0.45041,0.01148,0.0
0.46857,0.01185,0.0
0.50603,0.01228,0.0
0.54248,0.01289,0.0
0.5668,0.01311,0.0
0.58547,0.0134,0.0
0.58011,0.02917,0.0
0.57771,0.06317,0.0
0.58112,0.09568,0.0
0.58281,0.11745,0.0
0.58592,0.15106,0.0
0.58854,0.18073,0.0
0.59034,0.21093,0.0
0.59265,0.24829,0.0
0.59474,0.28091,0.0
0.59576,0.31786,0.0
0.59744,0.35566,0.0
0.59772,0.39174,0.0
0.59772,0.43151,0.0
0.59799,0.46945,0.0
0.59639,0.50717,0.0
0.5963,0.53525,0.0
0.59643,0.55848,0.0
0.5955,0.58141,0.0
0.59603,0.59037,0.0
0.58578,0.58948,0.0
0.55018,0.59049,0.0
0.52629,0.59201,0.0
0.50468,0.59458,0.0
0.46972,0.59624,0.0
0.43441,0.5983,0.0
0.39843,0.5994,0.0
0.37124,0.59951,0.0
0.34091,0.60034,0.0
0.30462,0.60061,0.0
0.27731,0.60062,0.0
0.24209,0.60019,0.0
0.20843,0.59955,0.0
0.17924,0.5986,0.0
0.14116,0.59748,0.0
0.11053,0.59464,0.0
0.0861,0.59398,0.0
0.06264,0.59225,0.0
0.04693,0.59092,0.0
0.03354,0.59017,0.0
0.02328,0.58985,0.0
0.04072,0.57003,0.0
0.04362,0.52746,0.0
0.04579,0.50108,0.0
0.04888,0.47707,0.0
0.04874,0.44497,0.0
0.05049,0.41978,0.0
0.05185,0.38751,0.0
0.05091,0.35559,0.0
0.05219,0.32575,0.0
0.0528,0.29117,0.0
0.05238,0.25887,0.0
0.05315,0.20698,0.0
0.05121,0.1722,0.0
0.05156,0.13665,0.0
0.04936,0.09952,0.0
0.04748,0.07294,0.0
0.04814,0.05181,0.0
0.0449,0.02906,0.0
